City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Talara,98,PE,1573967107,91,-4.58,-81.27,66.92,16.55
Butaritari,87,KI,1573967107,73,3.07,172.79,84.04,10.6
Sinazongwe,99,ZM,1573967107,63,-17.26,27.46,83.41,15.08
Reitz,18,ZA,1573967107,46,-27.8,28.43,67.75,7.78
Mar del Plata,7,AR,1573967108,46,-46.43,-67.52,55.98,24.32
Puerto Ayora,35,EC,1573967108,88,-0.74,-90.35,70.0,7.0
Blagoyevo,73,RU,1573967108,96,63.37,47.92,19.09,4.59
Tuktoyaktuk,20,CA,1573967108,76,69.44,-133.03,-11.2,6.93
Tasiilaq,97,GL,1573967108,68,65.61,-37.64,28.4,21.92
Bredasdorp,98,ZA,1573967108,72,-34.53,20.04,60.01,8.05
Havelock,90,US,1573967046,81,34.88,-76.9,53.6,21.92
Bilma,10,NE,1573967109,25,18.69,12.92,71.56,1.03
Strezhevoy,93,RU,1573967109,77,60.73,77.6,6.8,11.18
Sao Filipe,14,CV,1573967007,82,14.9,-24.5,73.06,15.41
Bambanglipuro,13,ID,1573967169,58,-7.95,110.28,87.04,14.18
Clyde River,90,CA,1573967169,71,70.47,-68.59,6.8,8.05
Cabo San Lucas,90,MX,1573966971,94,22.89,-109.91,75.99,10.29
East London,97,ZA,1573967169,88,-33.02,27.91,64.4,6.93
Cape Town,40,ZA,1573967055,55,-33.93,18.42,63.0,12.75
Margate,84,AU,1573967170,28,-43.03,147.26,60.01,10.29
Jamestown,23,AU,1573967170,13,-33.21,138.6,79.3,8.7
Hermanus,88,ZA,1573967006,76,-34.42,19.24,60.01,1.99
Cabedelo,75,BR,1573967170,83,-6.97,-34.84,77.0,3.36
Hamilton,75,CA,1573967103,67,43.26,-79.87,27.0,14.99
Shurugwi,9,ZW,1573967170,58,-19.67,30.0,74.86,7.78
Port Alfred,99,ZA,1573967003,95,-33.59,26.89,62.01,5.01
Punta Arenas,56,CL,1573966936,75,-53.16,-70.91,44.6,18.34
Arraial do Cabo,20,BR,1573967171,88,-22.97,-42.02,69.8,9.17
Saint George,40,GR,1573967171,93,39.45,22.34,53.6,4.7
Kapaa,90,US,1573966937,94,22.08,-159.32,80.6,10.29
Tanout,0,NE,1573967171,19,14.97,8.88,78.3,6.38
New Norfolk,92,AU,1573967171,28,-42.78,147.06,60.01,10.29
Port Moresby,40,PG,1573967172,74,-9.47,147.16,86.0,18.34
Provideniya,95,RU,1573967172,83,64.42,-173.23,15.33,9.26
Iqaluit,75,CA,1573967172,72,63.75,-68.52,14.0,6.93
Barrow,36,AR,1573967172,54,-38.31,-60.23,58.37,10.63
Hilo,20,US,1573967144,78,19.71,-155.08,78.8,3.78
Talnakh,0,RU,1573967172,63,69.49,88.39,-5.8,6.71
Filimonovo,62,RU,1573967172,86,54.21,39.6,37.99,3.0
Yellowknife,90,CA,1573967173,84,62.45,-114.38,8.6,8.05
Torbay,75,CA,1573967173,54,47.66,-52.73,30.99,34.45
Vikhorevka,40,RU,1573967173,76,56.12,101.17,-4.0,2.24
Victoria,75,BN,1573967173,70,5.28,115.24,89.6,2.24
Carnarvon,0,ZA,1573967173,54,-30.97,22.13,64.71,14.83
Florianopolis,0,BR,1573967064,82,-27.6,-48.55,66.0,5.82
Chokurdakh,95,RU,1573967174,98,70.62,147.9,-4.29,5.64
Busselton,0,AU,1573967174,33,-33.64,115.35,87.01,16.64
Baykit,83,RU,1573967174,94,61.68,96.39,-18.08,3.29
Thompson,90,CA,1573967174,92,55.74,-97.86,15.8,3.36
Moindou,20,NC,1573967174,38,-21.69,165.68,91.4,11.41
Vaini,53,IN,1573967174,65,15.34,74.49,78.8,5.82
Cukai,75,MY,1573967174,70,4.25,103.42,87.8,4.7
Turbat,95,PK,1573967175,18,26.0,63.05,78.6,12.77
Chistoye,90,RU,1573967175,100,56.54,43.0,35.6,4.47
Dalian,75,CN,1573967175,61,19.86,110.11,82.4,6.71
Khandagayty,100,MN,1573967175,75,50.73,92.07,-0.35,2.68
Lahaina,40,US,1573967175,65,20.87,-156.68,78.8,13.87
Grand Gaube,40,MU,1573967235,74,-20.01,57.66,80.6,18.34
Rio Gallegos,70,AR,1573967235,61,-51.62,-69.22,48.2,17.22
Pangnirtung,10,CA,1573967236,76,66.15,-65.72,6.12,2.19
Longyearbyen,75,NO,1573967236,80,78.22,15.63,30.2,3.36
Mandan,90,US,1573967236,88,46.83,-100.89,39.2,20.8
Ranong,40,TH,1573967236,59,9.96,98.62,91.4,3.36
Leningradskiy,100,RU,1573967236,92,69.38,178.42,15.4,8.05
Noumea,20,NC,1573966938,38,-22.28,166.46,91.4,11.41
Bellavista,100,MX,1573967236,89,21.56,-104.88,63.0,3.0
Mildura,65,AU,1573967236,21,-34.18,142.16,71.6,4.7
Airai,3,TL,1573967237,29,-8.93,125.41,86.9,8.5
Klaksvik,0,FO,1573967237,80,62.23,-6.59,35.6,6.93
Half Moon Bay,90,US,1573967237,100,37.46,-122.43,62.01,3.36
Faanui,3,PF,1573967237,83,-16.48,-151.75,79.74,14.67
Nueve de Julio,16,AR,1573967238,42,-31.67,-68.39,78.19,4.63
Vanimo,100,PG,1573967238,71,-2.67,141.3,84.65,9.35
Skjervoy,25,NO,1573967238,71,70.03,20.97,30.07,18.39
Port Elizabeth,75,US,1573967238,34,39.31,-74.98,46.0,9.17
Owando,100,CG,1573967238,96,-0.49,15.91,72.84,3.4
Vengerovo,100,RU,1573967238,92,55.68,76.74,25.99,14.14
Zhigansk,100,RU,1573967238,99,66.77,123.37,-5.75,6.73
Lamu,26,CN,1573967239,39,35.77,102.37,28.04,6.33
Khatanga,89,RU,1573967239,88,71.98,102.47,-13.25,0.85
Broken Hill,20,AU,1573967239,20,-31.97,141.45,73.4,14.99
Cherskiy,40,RU,1573967239,100,68.75,161.3,-10.62,1.07
Sitka,100,US,1573967239,57,37.17,-99.65,45.0,8.99
Buala,86,SB,1573967239,77,-8.15,159.59,83.01,6.44
Bud,55,NO,1573967239,80,62.91,6.91,35.6,9.17
Pankrushikha,100,RU,1573967240,92,53.83,80.35,17.35,13.49
Kavieng,88,PG,1573967240,74,-2.57,150.8,83.53,12.84
Nhulunbuy,40,AU,1573967240,55,-12.18,136.78,89.6,12.75
Lagoa,75,PT,1573967240,81,37.14,-8.45,53.01,2.24
Esmeraldas,40,BR,1573967240,88,-19.76,-44.31,69.8,8.05
Myaundzha,58,RU,1573967240,89,63.05,147.18,-12.5,3.98
Guangzhou,0,CN,1573967153,45,23.13,113.26,82.99,4.47
Beinamar,88,TD,1573967241,46,8.67,15.38,75.31,2.89
Mecca,39,SA,1573967241,52,21.43,39.83,78.26,0.89
Oranjestad,20,AW,1573967241,78,12.52,-70.03,78.8,4.7
Avarua,1,CK,1573967241,73,-21.21,-159.78,77.0,4.7
Chuy,11,UY,1573967241,91,-33.69,-53.46,64.44,2.66
Hobart,84,AU,1573967241,28,-42.88,147.33,60.01,10.29
Nikolskoye,90,RU,1573967241,93,59.7,30.79,37.99,6.71
Illela,34,NG,1573967242,30,12.25,4.3,76.08,5.26
Luderitz,0,NA,1573967242,72,-26.65,15.16,62.6,25.28
Bethel,90,US,1573967302,78,60.79,-161.76,8.6,12.75
Trat,20,TH,1573967302,66,12.25,102.51,90.0,3.36
Port-Gentil,100,GA,1573967191,89,-0.72,8.78,77.65,10.25
Mahebourg,40,MU,1573967302,74,-20.41,57.7,80.6,18.34
Bonavista,31,CA,1573967302,68,48.65,-53.11,28.99,30.0
Belmonte,100,PT,1573967302,98,40.36,-7.35,44.01,17.0
Kruisfontein,100,ZA,1573967303,90,-34.0,24.73,55.89,16.51
Birao,18,CF,1573967303,33,10.3,22.78,75.6,9.53
Shingu,40,JP,1573967303,45,33.72,135.99,68.0,10.29
Rafai,100,CF,1573967303,75,4.95,23.92,76.53,2.15
Dakar,93,SN,1573967303,78,14.69,-17.45,75.2,6.93
Tra Vinh,75,VN,1573967303,62,9.93,106.35,86.67,7.18
Gerash,0,IR,1573967303,66,27.67,54.14,53.6,8.28
Lethem,94,GY,1573967303,75,3.38,-59.8,78.91,6.11
Algiers,91,US,1573967304,100,29.94,-90.04,51.01,5.66
Saskylakh,100,RU,1573967304,97,71.97,114.09,-7.17,6.87
Brookhaven,1,US,1573967304,30,40.78,-72.92,35.01,11.41
Khasan,87,RU,1573967304,53,42.43,130.64,35.83,6.2
Dikson,0,RU,1573967304,84,73.51,80.55,-10.61,7.58
Palenque,100,MX,1573967304,94,17.51,-91.98,68.32,1.23
Salmon Creek,90,US,1573967304,87,45.71,-122.66,52.0,3.36
San Luis,0,AR,1573967304,52,-33.3,-66.34,77.63,19.06
Teguldet,100,RU,1573967305,89,57.31,88.17,6.19,9.91
Aklavik,5,CA,1573967282,83,68.22,-135.01,-14.8,5.82
Kaitangata,85,NZ,1573967305,75,-46.28,169.85,53.01,7.0
Bluff,9,AU,1573967305,13,-23.58,149.07,101.21,13.94
Hithadhoo,60,MV,1573967305,78,-0.6,73.08,82.51,18.75
Georgetown,40,GY,1573967154,100,6.8,-58.16,75.2,4.7
Ayagoz,40,KZ,1573967306,45,47.96,80.43,20.55,4.65
Sur,72,OM,1573967306,45,22.57,59.53,77.95,10.63
Severo-Kurilsk,77,RU,1573967306,75,50.68,156.12,19.31,4.41
Maracaju,83,BR,1573967306,64,-21.61,-55.17,67.01,2.04
Inverness,98,GB,1573967306,93,57.48,-4.23,35.6,9.17
Narsaq,100,GL,1573967306,40,60.91,-46.05,37.4,42.5
Bossangoa,100,CF,1573967307,56,6.5,17.45,72.9,2.39
Sorong,49,ID,1573967307,60,-0.86,131.25,89.28,4.25
Saint-Pierre,20,FR,1573967307,100,48.95,4.24,30.99,3.36
Rawson,11,AR,1573967307,36,-43.3,-65.11,62.01,20.87
Lodwar,99,KE,1573967307,35,3.12,35.6,87.64,16.98
Zhezkazgan,0,KZ,1573967307,66,47.8,67.71,15.8,4.47
Salalah,20,OM,1573967307,57,17.01,54.1,77.0,4.7
Inhambane,40,MZ,1573967307,83,-23.87,35.38,73.4,8.81
Bougouni,58,ML,1573967308,31,11.42,-7.49,74.89,3.78
Chiredzi,19,ZW,1573967308,59,-21.05,31.67,79.47,6.26
Tacoronte,75,ES,1573967368,100,28.48,-16.41,68.0,3.36
Eregli,0,TR,1573967274,63,37.51,34.05,52.11,1.19
Somerset East,99,ZA,1573967368,84,-32.72,25.59,56.41,4.29
Asosa,55,ET,1573967368,62,10.07,34.53,75.18,2.59
Buchanan,95,LR,1573967368,91,5.88,-10.05,75.27,1.43
Yulara,0,AU,1573967368,6,-25.24,130.99,95.0,13.87
Lahat,50,ID,1573967369,38,-3.78,103.55,86.23,7.34
Zinder,14,NE,1573967369,20,13.81,8.99,78.24,7.76
Auki,81,NG,1573967369,26,12.18,6.51,75.18,6.58
Nanortalik,100,GL,1573967369,83,60.14,-45.24,33.84,37.33
Sisimiut,2,GL,1573967369,61,66.94,-53.67,9.39,11.43
Elburg,49,NL,1573967369,93,52.45,5.84,41.0,4.7
Kuusamo,90,FI,1573967331,100,65.96,29.19,23.0,11.41
Sao Jose da Coroa Grande,41,BR,1573967370,75,-8.9,-35.15,78.69,15.1
Beringovskiy,100,RU,1573967370,74,63.05,179.32,29.77,16.8
Tupelo,1,US,1573967370,74,34.26,-88.7,37.4,5.82
Virden,98,CA,1573967364,88,49.85,-100.93,30.02,14.56
Esperance,0,AU,1573967370,13,-33.86,121.89,105.8,19.46
Hangu,20,PK,1573967370,63,33.53,71.06,64.4,4.7
Hereford,100,GB,1573967371,96,52.06,-2.72,44.01,1.16
Sao Joao da Barra,48,BR,1573967371,87,-21.64,-41.05,69.85,8.3
Panguna,99,PG,1573967371,91,-6.32,155.48,76.91,2.53
Huarmey,60,PE,1573967371,91,-10.07,-78.15,59.54,0.87
Anadyr,40,RU,1573967371,78,64.73,177.51,15.8,4.47
Kavaratti,15,IN,1573967371,70,10.57,72.64,83.08,3.0
Den Helder,90,NL,1573967371,81,52.96,4.76,43.0,11.41
Chibombo,92,ZM,1573967371,70,-14.68,28.09,74.25,5.01
Monteagudo,70,BO,1573967372,60,-19.8,-63.96,59.68,2.1
Hokitika,95,NZ,1573967372,70,-42.72,170.96,56.79,5.53
Novyy Urengoy,100,RU,1573967372,95,66.08,76.63,-12.06,15.73
Luanda,75,AO,1573967118,83,-8.83,13.24,78.8,4.7
Upernavik,88,GL,1573967372,58,72.79,-56.15,10.63,11.59
Quime,91,BO,1573967372,91,-16.98,-67.22,51.4,1.88
Lexington,1,US,1573967372,80,38.05,-84.5,33.01,5.82
Castro,90,CL,1573967373,93,-42.48,-73.76,53.6,14.99
Fougamou,100,GA,1573967373,98,-1.22,10.59,72.97,1.23
Harper,1,US,1573967373,70,30.3,-99.24,48.99,11.68
Namatanai,99,PG,1573967373,72,-3.66,152.44,83.59,3.53
Bambous Virieux,40,MU,1573967373,74,-20.34,57.76,80.6,18.34
Codrington,69,AU,1573967373,57,-28.95,153.24,86.0,19.46
Vaitape,3,PF,1573967374,83,-16.52,-151.75,79.74,14.67
Pokrovsk,92,RU,1573967374,92,61.48,129.14,-9.56,5.61
Atocha,100,AR,1573967374,68,-24.82,-65.48,75.2,4.7
Bandarbeyla,48,SO,1573967374,78,9.49,50.81,80.11,23.15
Luz,53,BR,1573967374,85,-19.79,-45.68,66.87,6.62
Cootamundra,4,AU,1573967434,17,-34.64,148.03,75.99,12.12
Sungaipenuh,11,ID,1573967434,45,-2.08,101.38,79.0,6.24
Paka,73,CF,1573967434,79,4.15,15.03,70.79,2.64
Tuatapere,53,NZ,1573967435,60,-46.13,167.69,57.0,7.0
Dauriya,100,RU,1573967435,74,49.93,116.85,5.47,10.83
Tilichiki,100,RU,1573967435,78,60.47,166.1,6.96,11.79
Sola,62,TZ,1573967435,56,-3.17,33.8,76.28,10.42
Nayoro,100,JP,1573967435,90,44.36,142.46,26.4,16.89
Verkhnyaya Inta,98,RU,1573967435,95,65.99,60.32,19.42,9.33
Nhamunda,100,BR,1573967435,96,-2.19,-56.71,75.79,3.24
Tambovka,0,RU,1573967436,78,47.32,47.38,38.16,11.16
Yar-Sale,100,RU,1573967436,99,66.83,70.83,-10.59,13.44
Tiksi,95,RU,1573967436,96,71.64,128.87,-2.78,4.5
Itinga,98,BR,1573967436,95,-16.61,-41.77,67.46,1.14
Pochutla,32,MX,1573967436,91,15.74,-96.47,75.99,5.39
Los Llanos de Aridane,90,ES,1573967436,77,28.66,-17.92,64.4,11.41
Sagua la Grande,75,CU,1573967436,94,22.81,-80.07,68.0,3.36
Chapleau,90,CA,1573967436,86,47.85,-83.4,22.91,10.92
Saint-Philippe,13,CA,1573967437,78,45.36,-73.48,12.2,2.01
Soyo,100,AO,1573967437,89,-6.13,12.37,76.32,7.29
Ponta do Sol,69,BR,1573967437,93,-20.63,-46.0,65.1,4.54
Kamskiye Polyany,85,RU,1573967437,79,55.43,51.42,32.0,20.13
Amapa,75,HN,1573967437,94,15.09,-87.97,73.4,2.24
Nantucket,1,US,1573967437,64,41.28,-70.1,37.99,8.05
Alice Springs,0,AU,1573967437,8,-23.7,133.88,93.2,13.87
Yulin,100,CN,1573967437,16,38.3,109.75,29.3,30.89
Constitucion,100,MX,1573967438,72,23.99,-104.67,57.0,5.01
Kochkurovo,15,RU,1573967438,89,54.03,45.43,31.08,10.04
Ambulu,29,ID,1573967438,81,-8.35,113.61,79.95,14.76
Oksfjord,37,NO,1573967438,73,70.24,22.35,28.4,18.34
Groa,90,FR,1573967438,93,48.67,-4.14,45.0,3.36
Innisfail,56,AU,1573967438,32,-17.52,146.03,91.0,5.01
Komsomolskiy,93,RU,1573967438,96,67.55,63.78,7.39,5.35
Paamiut,100,GL,1573967438,62,61.99,-49.67,36.73,13.47
Guerrero Negro,1,MX,1573967439,92,27.97,-114.04,62.78,6.8
Baruun-Urt,100,MN,1573967439,82,46.68,113.28,4.98,15.86
Morristown,1,US,1573967439,69,36.21,-83.29,43.0,3.36
Zaysan,66,KZ,1573967439,73,47.47,84.87,13.15,4.18
Lata,0,IN,1573967439,30,30.78,78.62,37.53,5.91
Port Blair,5,IN,1573967146,75,11.67,92.75,82.92,11.52
Tateyama,75,JP,1573967379,58,36.66,137.31,57.99,10.29
Verkhoyansk,99,RU,1573967439,98,67.55,133.39,-17.0,1.74
Opuwo,1,NA,1573967439,15,-18.06,13.84,71.96,5.01
Genhe,100,CN,1573967440,71,50.78,121.52,6.4,6.06
Pachino,0,IT,1573967440,72,36.72,15.09,66.2,9.17
Padang,89,ID,1573967440,67,-0.92,100.36,81.19,4.09
Poum,40,MK,1573967440,87,41.28,20.71,42.8,2.24
Grindavik,75,IS,1573967440,60,63.84,-22.43,32.0,6.93
Vestmannaeyjar,74,IS,1573967500,64,63.44,-20.27,40.17,18.92
Cidreira,0,BR,1573967500,73,-30.17,-50.22,66.27,9.66
Ribeira Grande,40,PT,1573967500,72,38.52,-28.7,62.6,6.93
Antofagasta,75,CL,1573967501,82,-23.65,-70.4,62.6,3.36
Enshi,83,CN,1573967501,92,30.29,109.48,57.69,2.89
Slawno,20,PL,1573967501,93,52.84,16.56,41.0,5.82
Gamba,0,CN,1573967501,33,28.28,88.52,35.11,8.5
Lesosibirsk,100,RU,1573967501,91,58.22,92.49,6.1,8.66
Coffs Harbour,40,AU,1573967236,73,-30.3,153.13,77.0,6.93
Port Hedland,2,AU,1573967501,17,-20.31,118.58,102.79,26.06
Westport,1,US,1573967501,30,41.14,-73.36,35.01,11.41
Santa Ana,1,MX,1573967502,88,30.54,-111.12,60.01,1.1
Nouadhibou,17,MR,1573967502,68,20.93,-17.03,66.2,20.8
Belgrade,97,RS,1573967502,71,44.82,20.46,55.4,17.22
Sibolga,64,ID,1573967502,57,1.74,98.78,86.97,4.85
Nuuk,100,GL,1573967502,53,64.17,-51.74,21.2,11.41
Kindu,100,CD,1573967502,98,-2.95,25.92,71.33,4.09
Englewood,90,US,1573967487,80,39.65,-104.99,39.2,3.36
Zhigalovo,0,RU,1573967503,66,54.81,105.15,-2.79,2.48
Bellflower,1,US,1573967503,77,33.88,-118.12,71.01,1.77
Husavik,100,CA,1573967503,96,50.56,-96.99,30.0,8.99
San Quintin,60,PH,1573967503,70,17.54,120.52,83.03,5.17
Markala,56,ML,1573967503,21,13.69,-6.07,77.58,8.61
Mount Isa,45,AU,1573967503,6,-20.73,139.49,100.4,12.75
Forbes,12,AU,1573967503,10,-33.38,148.01,82.0,1.01
Meadow Lake,24,CA,1573967504,87,54.13,-108.44,29.82,8.77
Chelbasskaya,0,RU,1573967504,64,45.98,39.37,44.71,14.88
Nichinan,40,JP,1573967504,64,31.65,131.31,68.0,6.93
Coquimbo,27,CL,1573967504,93,-29.95,-71.34,57.2,3.36
Monmouth,20,GB,1573967504,80,51.81,-2.72,42.01,2.24
Quatre Cocos,40,MU,1573967504,74,-20.21,57.76,80.6,18.34
Flin Flon,45,CA,1573967505,94,54.77,-101.88,16.0,3.15
Great Yarmouth,79,GB,1573967505,86,52.61,1.73,43.0,3.36
Egvekinot,60,RU,1573967505,95,66.32,-179.17,3.94,8.97
Vilyuysk,100,RU,1573967505,94,63.75,121.63,-8.68,9.57
Victor Harbor,46,AU,1573967264,51,-35.55,138.62,68.0,17.22
Big Rapids,1,US,1573967505,73,43.7,-85.48,25.0,6.93
Ganzhou,80,CN,1573967506,41,25.86,114.93,81.72,5.59
Wakkanai,75,JP,1573967506,64,45.41,141.67,33.8,27.51
Ahipara,5,NZ,1573967506,100,-35.17,173.16,66.0,17.31
Rorvik,99,NO,1573967506,75,64.86,11.24,37.99,7.0
Ossora,100,RU,1573967506,82,59.24,163.07,24.44,16.8
Allapalli,0,IN,1573967506,52,19.43,80.06,81.48,4.81
Vao,100,EE,1573967506,95,59.1,26.19,44.94,8.68
Mesyagutovo,100,RU,1573967567,81,55.53,58.24,29.39,17.25
Santa Maria del Oro,29,MX,1573967567,81,25.95,-105.37,52.47,0.76
Forestville,75,CA,1573967567,67,48.74,-69.09,21.2,14.99
Bayan,26,CN,1573967567,39,36.1,102.26,28.04,6.33
De Aar,0,ZA,1573967567,55,-30.65,24.01,64.4,13.87
Sosnovo,100,RU,1573967567,95,60.56,30.25,37.99,8.01
Lake City,1,US,1573967500,63,38.03,-107.32,33.8,5.12
Hambantota,40,LK,1573967568,79,6.12,81.12,86.0,6.93
Popondetta,100,PG,1573967568,89,-8.77,148.24,72.43,2.68
Kidal,45,ML,1573967568,14,18.44,1.41,69.58,7.81
Batemans Bay,63,AU,1573967568,12,-35.71,150.18,72.0,5.01
Miranda de Ebro,75,ES,1573967356,86,42.69,-2.95,46.4,8.05
Cangucu,41,BR,1573967568,90,-31.39,-52.68,60.01,3.74
Gizo,0,IL,1573967569,63,31.8,34.94,64.4,8.05
Khor,35,RU,1573967569,69,47.88,134.96,16.43,13.73
Ilebo,100,CD,1573967569,95,-4.33,20.59,71.69,1.48
Hegang,51,CN,1573967569,46,47.34,130.28,19.87,1.41
Camocim,58,BR,1573967569,89,-2.9,-40.84,73.76,4.97
Bonfim,94,GY,1573967569,75,3.36,-59.84,78.91,6.11
Seoul,90,KR,1573967178,93,37.57,126.98,48.2,9.17
Dunedin,100,NZ,1573967569,81,-45.87,170.5,52.16,12.48
Drovyanaya,100,RU,1573967570,46,51.58,113.05,8.6,11.18
Marica,0,BR,1573967570,73,-22.92,-42.82,73.4,4.7
Ola,99,RU,1573967570,69,59.58,151.3,7.48,14.32
Cajati,47,BR,1573967570,97,-24.73,-48.11,61.29,0.2
Shimoda,20,JP,1573967570,52,34.7,138.93,64.4,9.17
Norman Wells,90,CA,1573967570,76,65.28,-126.83,-5.8,2.24
Dingle,99,PH,1573967570,84,11.0,122.67,82.54,8.7
Mangan,0,IN,1573967570,64,27.5,88.54,61.54,7.11
Taksimo,100,RU,1573967571,76,56.36,114.84,-4.23,2.66
Vrangel,64,RU,1573967571,46,42.73,133.08,34.63,8.19
Pevek,77,RU,1573967571,96,69.7,170.27,1.49,6.91
Nivala,100,FI,1573967571,94,63.93,24.96,26.01,5.01
Azanka,100,RU,1573967571,95,58.04,64.79,29.8,7.47
Te Anau,97,NZ,1573967571,83,-45.41,167.72,44.24,9.86
Arona,75,IT,1573967571,100,45.76,8.56,46.4,6.93
Lebu,20,ET,1573967571,62,8.96,38.73,57.2,12.75
Sjoholt,90,NO,1573967572,86,62.48,6.81,33.8,4.7
San Antonio,0,CL,1573967572,81,-33.58,-71.61,45.52,1.66
Bonthe,74,SL,1573967572,87,7.53,-12.5,76.05,5.97
Katsuura,40,JP,1573967572,52,33.93,134.5,70.0,10.29
Pyinmana,1,MM,1573967572,61,19.74,96.21,86.23,2.95
Tommot,100,RU,1573967572,93,58.97,126.27,-6.83,9.33
Samana,100,EC,1573967573,99,0.12,-76.97,69.98,1.77
Chifeng,100,CN,1573967573,14,42.27,118.96,39.58,19.64
Spinea,40,IT,1573967573,93,45.49,12.16,55.99,4.7
Miramar,20,CR,1573967633,94,10.09,-84.73,75.99,6.93
Keti Bandar,0,PK,1573967633,45,24.14,67.45,82.49,16.62
Owosso,1,US,1573967633,79,43.0,-84.18,24.01,6.51
Puerto Baquerizo Moreno,96,EC,1573967633,82,-0.9,-89.6,70.23,12.88
Imbituba,1,BR,1573967634,82,-28.24,-48.67,64.4,5.82
Vardo,90,US,1573967634,57,39.62,-77.74,33.8,5.82
Aitape,100,PG,1573967634,72,-3.15,142.36,83.73,0.47
Ginda,0,IN,1573967634,18,30.69,78.49,72.91,3.91
Ostrovnoy,53,RU,1573967634,92,68.05,39.51,18.61,4.79
Ambilobe,50,MG,1573967635,50,-13.19,49.05,90.63,9.31
Carndonagh,96,IE,1573967635,94,55.25,-7.27,35.94,2.19
Girua,0,BR,1573967635,72,-28.03,-54.35,61.0,8.05
Changji,97,CN,1573967635,82,32.07,116.17,57.15,8.01
Surin,20,TH,1573967524,55,14.88,103.49,93.0,3.36
Oktyabrskiy,90,RU,1573967636,93,55.61,37.97,39.2,6.71
Jiwani,98,PK,1573967636,39,25.05,61.74,77.32,14.61
Carutapera,2,BR,1573967430,78,-1.2,-46.02,81.45,15.86
Dongsheng,77,CN,1573967636,70,29.72,112.52,62.96,14.52
Richards Bay,54,ZA,1573967636,76,-28.77,32.06,69.82,8.41
Pontes e Lacerda,99,BR,1573967636,94,-15.23,-59.33,70.99,1.21
Banda Aceh,33,ID,1573967636,59,5.56,95.32,87.19,5.32
Hazorasp,100,UZ,1573967637,68,41.32,61.08,28.4,4.7
Hualmay,5,PE,1573967637,93,-11.1,-77.61,58.86,2.71
Kaeo,23,NZ,1573967637,100,-35.1,173.78,66.0,17.09
La Ronge,90,CA,1573967637,92,55.1,-105.3,24.8,4.7
Zapolyarnyy,75,RU,1573967637,84,69.43,30.82,8.6,3.36
Santa Cruz,50,BR,1573967637,80,-6.22,-36.02,73.2,6.69
Naze,40,NG,1573967637,94,5.43,7.07,73.4,0.87
Gushikawa,75,JP,1573967576,65,26.35,127.87,82.4,12.75
Cowra,3,AU,1573967638,21,-33.84,148.69,68.0,1.99
Barstow,1,US,1573967638,70,31.46,-103.39,48.2,8.86
Inongo,81,CD,1573967638,90,-1.93,18.29,73.76,3.91
Melo,33,UY,1573967638,88,-32.37,-54.17,59.72,4.34
Yeppoon,40,AU,1573967638,25,-23.13,150.74,100.4,14.99
Krasnyy Yar,43,RU,1573967638,89,50.7,44.73,32.38,7.99
Lashio,0,MM,1573967638,35,22.93,97.75,77.47,3.8
Figeac,90,FR,1573967639,93,44.61,2.03,37.4,6.93
